Wall time,Step,Value
1626944019.6048803,0,13.869659423828125
1626944296.1891928,1,31.430479049682617
1626944573.1193948,2,55.097904205322266
1626944849.9940898,3,67.06388092041016
1626945126.9807541,4,72.89112091064453
1626945404.1489677,5,76.28807067871094
1626945681.0679765,6,78.515625
1626945958.596952,7,80.64181518554688
1626946235.8489575,8,82.42434692382812
1626946512.6839426,9,83.99179077148438
1626946789.6217935,10,85.02274322509766
1626947066.692791,11,86.38993072509766
1626947343.8735018,12,87.13410186767578
1626947621.1523173,13,87.92523956298828
1626947897.892738,14,88.8572998046875
1626948174.9023957,15,89.52976989746094
1626948451.330485,16,90.07120513916016
1626948728.677921,17,90.56566619873047
1626949005.8068798,18,90.44451904296875
1626949282.5577044,19,90.72389221191406
