Wall time,Step,Value
1626990718.0815747,0,8.261903762817383
1626990899.901205,1,7.960012912750244
1626991085.2581124,2,7.880336761474609
1626991269.449291,3,7.976961135864258
1626991453.3543315,4,8.0531587600708
1626991636.9563165,5,8.111895561218262
1626991819.8550644,6,8.115029335021973
1626992003.476484,7,8.04026985168457
1626992187.5206778,8,7.938681125640869
1626992370.4979508,9,7.832934856414795
1626992553.8925505,10,7.7682623863220215
1626992736.9925237,11,7.675754070281982
1626992919.2392085,12,7.599055767059326
1626993101.5178757,13,7.499279022216797
1626993284.6728654,14,7.396512985229492
1626993466.7962928,15,7.337170124053955
1626993649.0731153,16,7.256719589233398
1626993831.4564502,17,7.225278854370117
1626994015.9042075,18,7.155149936676025
1626994197.0487957,19,7.1010823249816895
1626994380.4789684,20,7.060517311096191
1626994563.8300397,21,7.0089263916015625
1626994746.909367,22,6.969298839569092
1626994928.9149058,23,6.941217422485352
1626995111.0409334,24,6.8834075927734375
1626995293.204361,25,6.861839771270752
1626995475.963545,26,6.860557556152344
1626995658.870017,27,6.853935241699219
1626995841.5777388,28,6.863368988037109
1626996024.1585984,29,6.919309139251709
