Wall time,Step,Value
1626941445.4269154,0,1.183375358581543
1626941563.4556336,1,1.0427783727645874
1626941681.6879957,2,1.0029317140579224
1626941800.021947,3,0.9750151038169861
1626941918.2103636,4,0.9541777968406677
1626942036.5422497,5,0.9287579655647278
1626942154.578795,6,0.9003426432609558
1626942272.9024277,7,0.8827552199363708
1626942391.2371213,8,0.8678692579269409
1626942509.6659303,9,0.8523451089859009
1626942627.7968664,10,0.8363901972770691
1626942746.1397696,11,0.8279029726982117
1626942864.3783724,12,0.8175041675567627
1626942982.8182752,13,0.8064336776733398
1626943101.3465326,14,0.7980343699455261
1626943219.4839208,15,0.7903087735176086
1626943337.6144009,16,0.7844903469085693
1626943455.8497095,17,0.7792048454284668
1626943574.0181885,18,0.7773321866989136
1626943692.2022157,19,0.7758715152740479
